network,method,time,modularity,cunductance,accurary
100_0.6_4,split_newman,1.659609556,0.172003498,0.369034985,0.15980025
100_0.6_4,split_newman_remerge,1.542813778,0.162167635,0.362688618,0.157388028
***,***,***,***,***,***
1000_0.4_4,normal louvain,0.333409548,0.562109222,0.598802431,1
1000_0.4_4,split_louvain,0.682028055,0.562109222,0.598802431,1
1000_0.4_4,split_louvain_remerge,0.734433174,0.562109222,0.598802431,1
1000_0.4_4,split_girvan,24.75907063,0.560995935,0.599984393,0.89620279
1000_0.4_4,split_girvan_remerge,26.01610613,0.562109222,0.598802431,1
1000_0.4_4,split_newman,62.42734504,0.546213187,0.605848782,0.557722484
1000_0.4_4,split_newman_remerge,70.37171316,0.548390932,0.604776822,0.601330499
***,***,***,***,***,***
1000_0.5_4,normal louvain,0.357564688,0.462450361,0.504346203,0.822521024
1000_0.5_4,split_louvain,0.780759096,0.464201936,0.502605965,0.946408634
1000_0.5_4,split_louvain_remerge,0.729812145,0.462034975,0.50348732,0.865638981
1000_0.5_4,split_girvan,23.55771732,0.459168687,0.506254452,0.684411379
1000_0.5_4,split_girvan_remerge,21.24851084,0.4627093,0.504201746,0.85343753
1000_0.5_4,split_newman,71.02886844,0.450657163,0.508516612,0.539682053
1000_0.5_4,split_newman_remerge,73.14536333,0.453194154,0.508545487,0.588342683
***,***,***,***,***,***
1000_0.6_4,normal louvain,0.602506638,0.356819602,0.41006696,0.522398279
1000_0.6_4,split_louvain,0.843636274,0.360461257,0.412278981,0.5438115
1000_0.6_4,split_louvain_remerge,0.841852665,0.363097068,0.409687005,0.615653597
1000_0.6_4,split_girvan,40.41922736,0.355316658,0.412343831,0.492890849
1000_0.6_4,split_girvan_remerge,24.84337735,0.353537275,0.411767654,0.497010861
1000_0.6_4,split_newman,74.03026962,0.348133104,0.408509553,0.450229035
1000_0.6_4,split_newman_remerge,83.40787387,0.356049259,0.409309431,0.579573781
***,***,***,***,***,***
100_0.4_5,normal louvain,0.025466442,0.236704356,0.414968458,0.369818351
100_0.4_5,split_louvain,0.066607237,0.241973231,0.424027791,0.48447205
100_0.4_5,split_louvain_remerge,0.066703081,0.220997374,0.407216076,0.249341528
100_0.4_5,split_girvan,0.583093405,0.227333252,0.363524863,0.328117591
100_0.4_5,split_girvan_remerge,0.919962883,0.24313988,0.42984545,0.416127427
100_0.4_5,split_newman,3.413143158,0.231092452,0.480868386,0.527709662
100_0.4_5,split_newman_remerge,1.084030628,0.202625532,0.392458245,0.268479184
***,***,***,***,***,***
100_0.5_5,normal louvain,0.032237768,0.197010045,0.450162132,0.280737705
100_0.5_5,split_louvain,0.065564871,0.194120986,0.353881725,0.230600614
100_0.5_5,split_louvain_remerge,0.067535877,0.195017342,0.360933817,0.204276615
100_0.5_5,split_girvan,0.283308983,0.190627449,0.322352269,0.205199629
100_0.5_5,split_girvan_remerge,0.671894073,0.19824062,0.396364038,0.215539947
100_0.5_5,split_newman,3.895076752,0.196367731,0.444890869,0.272870662
100_0.5_5,split_newman_remerge,1.719805717,0.179093735,0.344521659,0.177808095
***,***,***,***,***,***
100_0.6_5,normal louvain,0.032973528,0.183470978,0.325203863,0.122322703
100_0.6_5,split_louvain,0.045867443,0.172374732,0.337958567,0.121584699
100_0.6_5,split_louvain_remerge,0.048133135,0.184579285,0.326963391,0.12409464
100_0.6_5,split_girvan,0.340242863,0.190040851,0.347335163,0.140107431
100_0.6_5,split_girvan_remerge,0.184495687,0.179413143,0.342143032,0.131170018
100_0.6_5,split_newman,1.116993666,0.170870332,0.338469329,0.124263039
100_0.6_5,split_newman_remerge,1.331070423,0.173123639,0.341143784,0.133575647
***,***,***,***,***,***
1000_0.4_5,normal louvain,0.249922276,0.561275568,0.600472937,0.974464711
1000_0.4_5,split_louvain,0.808572531,0.561275568,0.600472937,0.974464711
1000_0.4_5,split_louvain_remerge,0.799822092,0.561275568,0.600472937,0.974464711
1000_0.4_5,split_girvan,30.6340487,0.561275568,0.600472937,0.974464711
1000_0.4_5,split_girvan_remerge,33.40462136,0.561275568,0.600472937,0.974464711
1000_0.4_5,split_newman,68.6783762,0.54526623,0.606941145,0.553164671
1000_0.4_5,split_newman_remerge,74.46977043,0.544965096,0.602784792,0.616366139
***,***,***,***,***,***
1000_0.5_5,normal louvain,0.399483442,0.466302912,0.503054298,0.876722818
1000_0.5_5,split_louvain,0.983009338,0.466772372,0.502515739,0.91307815
1000_0.5_5,split_louvain_remerge,0.833093405,0.218981678,0.213735452,0.227386151
1000_0.5_5,split_girvan,17.0722661,0.466772372,0.502515739,0.91307815
1000_0.5_5,split_girvan_remerge,17.44470167,0.465712244,0.50370919,0.849406528
1000_0.5_5,split_newman,62.57860708,0.456234683,0.505117588,0.630361331
1000_0.5_5,split_newman_remerge,57.81650162,0.456942857,0.502081405,0.671018945
***,***,***,***,***,***
1000_0.6_5,normal louvain,0.398282051,0.364982036,0.411126768,0.582255359
1000_0.6_5,split_louvain,0.748788357,0.365116224,0.410597281,0.621906581
1000_0.6_5,split_louvain_remerge,0.715715885,0.364542633,0.409896972,0.615146217
1000_0.6_5,split_girvan,15.34694886,0.364058823,0.415281236,0.574285307
1000_0.6_5,split_girvan_remerge,14.01430249,0.359361522,0.40889516,0.530980771
1000_0.6_5,split_newman,174.0805037,0.347615164,0.403094252,0.477242472
1000_0.6_5,split_newman_remerge,152.8851092,0.340318122,0.403235892,0.380045205
***,***,***,***,***,***
100_0.4_6,normal louvain,0.056306839,0.250305489,0.438549154,0.582878953
100_0.4_6,split_louvain,0.129346371,0.251204511,0.497245762,0.618662352
100_0.4_6,split_louvain_remerge,0.136687279,0.25463102,0.439621364,0.537136706
100_0.4_6,split_girvan,1.562463284,0.247219766,0.418988,0.428220256
100_0.4_6,split_girvan_remerge,2.466725349,0.250798004,0.494153585,0.561658031
100_0.4_6,split_newman,8.925121307,0.207381233,0.435207489,0.40194421
100_0.4_6,split_newman_remerge,10.19514751,0.221685261,0.46026541,0.363756614
***,***,***,***,***,***
100_0.5_6,normal louvain,0.088829041,0.206888364,0.372182062,0.154314721
100_0.5_6,split_louvain,0.131885052,0.199413845,0.359596926,0.163168585
100_0.5_6,split_louvain_remerge,0.118174791,0.198046843,0.361939369,0.141233207
100_0.5_6,split_girvan,0.570148468,0.191601596,0.334405346,0.125222975
100_0.5_6,split_girvan_remerge,0.798067331,0.192409499,0.361653549,0.140424053
100_0.5_6,split_newman,3.713487864,0.168732463,0.371278698,0.178217822
100_0.5_6,split_newman_remerge,3.448032618,0.160436797,0.329374712,0.137261698
***,***,***,***,***,***
100_0.6_6,normal louvain,0.048231602,0.191958261,0.359984412,0.149176062
100_0.6_6,split_louvain,0.095284224,0.188874545,0.387701088,0.205107418
100_0.6_6,split_louvain_remerge,0.133615017,0.191462519,0.354703288,0.182667799
100_0.6_6,split_girvan,0.597584486,0.196841822,0.363157836,0.19352014
100_0.6_6,split_girvan_remerge,0.422043085,0.194864926,0.394748854,0.200833333
100_0.6_6,split_newman,4.859470367,0.192671522,0.392568245,0.182157676
100_0.6_6,split_newman_remerge,2.120313883,0.182036345,0.34617951,0.164319249
***,***,***,***,***,***
1000_0.4_6,normal louvain,0.530842066,0.564143656,0.603499382,0.916903933
1000_0.4_6,split_louvain,1.730276823,0.564143656,0.603499382,0.916903933
1000_0.4_6,split_louvain_remerge,1.63409996,0.244180398,0.244702025,0.233410006
1000_0.4_6,split_girvan,68.20299673,0.564143656,0.603499382,0.916903933
1000_0.4_6,split_girvan_remerge,76.40467978,0.562855046,0.604335196,0.850949305
1000_0.4_6,split_newman,158.1379118,0.543452719,0.604552423,0.53469413
1000_0.4_6,split_newman_remerge,155.4493821,0.54552262,0.60420866,0.565572432
***,***,***,***,***,***
1000_0.5_6,normal louvain,0.670675516,0.461915515,0.507617629,0.7852065
1000_0.5_6,split_louvain,1.93996501,0.463618006,0.504579712,0.917796023
1000_0.5_6,split_louvain_remerge,1.673468113,0.46178227,0.505786522,0.837591406
1000_0.5_6,split_girvan,1007.840003,0.463618006,0.504579712,0.917796023
1000_0.5_6,split_girvan_remerge,20.82167649,0.461830322,0.504930383,0.844028233
