i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
1,10000,0.4,Louvain,FALSE,FALSE,FALSE,47.68946052,0.601790254,0.612335254,0.295160722
2,10000,0.4,Louvain,FALSE,FALSE,FALSE,52.51304197,0.602043031,0.612213356,0.305277443
3,10000,0.4,Louvain,FALSE,FALSE,FALSE,51.09979343,0.602239248,0.61275109,0.311466389
4,10000,0.4,Louvain,FALSE,FALSE,FALSE,40.51837754,0.601597651,0.611698025,0.307126608
5,10000,0.4,Louvain,FALSE,FALSE,FALSE,39.7062211,0.602092803,0.612613718,0.30226273
6,10000,0.4,Louvain,FALSE,FALSE,FALSE,42.8004775,0.6018326,0.61183052,0.320791858
7,10000,0.4,Louvain,FALSE,FALSE,FALSE,40.80229545,0.602326064,0.612944255,0.288255152
8,10000,0.4,Louvain,FALSE,FALSE,FALSE,39.37507653,0.601890572,0.61200526,0.302407297
9,10000,0.4,Louvain,FALSE,FALSE,FALSE,44.03083491,0.602074134,0.612949344,0.288331125
0,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.244577169,0.462052161,0.50288775,0.914499626
1,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.468336105,0.466110801,0.510680859,0.712067869
2,1000,0.5,Louvain,FALSE,FALSE,FALSE,2.947239637,0.458618291,0.50644054,0.745927154
3,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.096823931,0.462521237,0.502435058,0.93240496
4,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.058711767,0.464201936,0.502605965,0.946408634
5,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.420722961,0.466772372,0.502515739,0.91307815
6,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.001334429,0.463100606,0.505779556,0.856299031
7,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.106692553,0.463092709,0.507680044,0.792652499
8,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.275341511,0.462756696,0.504982086,0.794972191
9,1000,0.5,Louvain,FALSE,FALSE,FALSE,3.449773073,0.461853386,0.500505327,0.960961276
0,10000,0.5,Louvain,FALSE,FALSE,FALSE,42.28005576,0.504072409,0.516901898,0.249014262
1,10000,0.5,Louvain,FALSE,FALSE,FALSE,49.49743342,0.503740388,0.516461657,0.248112741
2,10000,0.5,Louvain,FALSE,FALSE,FALSE,43.47300363,0.504168917,0.516681136,0.24749463
3,10000,0.5,Louvain,FALSE,FALSE,FALSE,43.83804941,0.504057998,0.516192114,0.261580901
4,10000,0.5,Louvain,FALSE,FALSE,FALSE,42.0561142,0.503939369,0.515973424,0.258138069
5,10000,0.5,Louvain,FALSE,FALSE,FALSE,44.60392261,0.504512096,0.517669499,0.239096839
6,10000,0.5,Louvain,FALSE,FALSE,FALSE,44.50989866,0.504150209,0.516712969,0.253956617
7,10000,0.5,Louvain,FALSE,FALSE,FALSE,41.48489189,0.504373433,0.51777947,0.233254796
8,10000,0.5,Louvain,FALSE,FALSE,FALSE,40.26194787,0.504597396,0.516947332,0.246852796
9,10000,0.5,Louvain,FALSE,FALSE,FALSE,41.31841111,0.504093324,0.516384828,0.246130341
0,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.726024866,0.366464346,0.426325227,0.479216923
1,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.346199036,0.366725338,0.41401049,0.608230551
2,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.475357771,0.360089284,0.407346032,0.646500189
3,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.835613251,0.354202322,0.407297277,0.591201423
4,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.384061337,0.362578489,0.411880568,0.615576116
5,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.32489419,0.358402448,0.405181897,0.566537592
6,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.807364702,0.357282482,0.409450441,0.539574126
7,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.763224363,0.361620586,0.409817121,0.6179612
8,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.545706034,0.36331431,0.415162336,0.57629474
9,1000,0.6,Louvain,FALSE,FALSE,FALSE,3.516690493,0.354327622,0.408774819,0.512976454
0,10000,0.6,Louvain,FALSE,FALSE,FALSE,45.63107777,0.406440743,0.4226798,0.193554352
1,10000,0.6,Louvain,FALSE,FALSE,FALSE,46.25951743,0.406660616,0.422860837,0.190862991
2,10000,0.6,Louvain,FALSE,FALSE,FALSE,48.65266228,0.406708789,0.423286076,0.184717245
3,10000,0.6,Louvain,FALSE,FALSE,FALSE,49.0892818,0.406210038,0.423175058,0.191868851
4,10000,0.6,Louvain,FALSE,FALSE,FALSE,52.17003393,0.40658146,0.422824221,0.191571901
5,10000,0.6,Louvain,FALSE,FALSE,FALSE,53.86442423,0.406603705,0.423136493,0.1894835
6,10000,0.6,Louvain,FALSE,FALSE,FALSE,49.92621398,0.40621907,0.421899559,0.20006734
7,10000,0.6,Louvain,FALSE,FALSE,FALSE,48.50723624,0.406743927,0.422189837,0.189120704
8,10000,0.6,Louvain,FALSE,FALSE,FALSE,50.32607388,0.406269729,0.423845831,0.179719233
9,10000,0.6,Louvain,FALSE,FALSE,FALSE,45.47392559,0.405702623,0.42179194,0.193674596
0,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.740357399,0.249160308,0.244856136,0.245804774
1,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.985728025,0.562800518,0.6017979,0.941740771
2,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.504072905,0.254466263,0.251215523,0.230578035
3,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.698314905,0.564292085,0.599174157,1
4,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.369897366,0.277273416,0.247262423,0.307595803
5,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.441360712,0.249689353,0.243285651,0.234375
6,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.816191912,0.563035024,0.60410985,0.850949305
7,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.884532452,0.565462211,0.601183512,0.94451146
8,1000,0.4,Louvain,FALSE,TRUE,FALSE,4.316942215,0.560565708,0.601137295,1
9,1000,0.4,Louvain,FALSE,TRUE,FALSE,3.885040998,0.249448372,0.242617157,0.239615694
0,10000,0.4,Louvain,FALSE,TRUE,FALSE,54.95980239,0.602654143,0.613119949,0.302606641
1,10000,0.4,Louvain,FALSE,TRUE,FALSE,48.87977958,0.601790254,0.612335254,0.295160722
2,10000,0.4,Louvain,FALSE,TRUE,FALSE,53.83941722,0.602043031,0.612213356,0.305277443
3,10000,0.4,Louvain,FALSE,TRUE,FALSE,51.18218803,0.602239248,0.61275109,0.311466389
4,10000,0.4,Louvain,FALSE,TRUE,FALSE,40.55082011,0.60148761,0.6112788,0.323051361
5,10000,0.4,Louvain,FALSE,TRUE,FALSE,40.63649082,0.602092803,0.612613718,0.30226273
6,10000,0.4,Louvain,FALSE,TRUE,FALSE,43.72832179,0.6018326,0.61183052,0.320791858
7,10000,0.4,Louvain,FALSE,TRUE,FALSE,40.42640495,0.602326064,0.612944255,0.288255152
8,10000,0.4,Louvain,FALSE,TRUE,FALSE,39.1879909,0.601890572,0.61200526,0.302407297
9,10000,0.4,Louvain,FALSE,TRUE,FALSE,44.61596584,0.60204869,0.612392874,0.300851177
0,1000,0.5,Louvain,FALSE,TRUE,FALSE,3.501044035,0.460928516,0.50374816,0.859259954
1,1000,0.5,Louvain,FALSE,TRUE,FALSE,3.423363447,0.466110801,0.510680859,0.712067869
2,1000,0.5,Louvain,FALSE,TRUE,FALSE,2.998106956,0.458618291,0.50644054,0.745927154
3,1000,0.5,Louvain,FALSE,TRUE,FALSE,2.951360226,0.462288678,0.502260501,0.930513289
4,1000,0.5,Louvain,FALSE,TRUE,FALSE,3.181027412,0.464201936,0.502605965,0.946408634
5,1000,0.5,Louvain,FALSE,TRUE,FALSE,3.550096989,0.466772372,0.502515739,0.91307815
6,1000,0.5,Louvain,FALSE,TRUE,FALSE,3.041275263,0.463100606,0.505779556,0.856299031
7,1000,0.5,Louvain,FALSE,TRUE,FALSE,3.081502914,0.46069801,0.509623064,0.719821861
8,1000,0.5,Louvain,FALSE,TRUE,FALSE,3.480936527,0.459184781,0.509584685,0.65494868
9,1000,0.5,Louvain,FALSE,TRUE,FALSE,4.138270855,0.461853386,0.500505327,0.960961276
0,10000,0.5,Louvain,FALSE,TRUE,FALSE,41.49502635,0.504031499,0.516450613,0.249182911
1,10000,0.5,Louvain,FALSE,TRUE,FALSE,50.03036094,0.503721535,0.51654767,0.246035261
2,10000,0.5,Louvain,FALSE,TRUE,FALSE,44.50282001,0.504115922,0.516602954,0.243872517
3,10000,0.5,Louvain,FALSE,TRUE,FALSE,45.06563306,0.503981365,0.516354342,0.25662242
4,10000,0.5,Louvain,FALSE,TRUE,FALSE,42.82341504,0.504015057,0.516196626,0.253890203
5,10000,0.5,Louvain,FALSE,TRUE,FALSE,45.87128663,0.504396578,0.517088546,0.249940477
6,10000,0.5,Louvain,FALSE,TRUE,FALSE,46.20920587,0.504150209,0.516712969,0.253956617
7,10000,0.5,Louvain,FALSE,TRUE,FALSE,42.55365753,0.504373433,0.51777947,0.233254796
8,10000,0.5,Louvain,FALSE,TRUE,FALSE,44.39749455,0.504771929,0.517226163,0.245651687
9,10000,0.5,Louvain,FALSE,TRUE,FALSE,43.2961452,0.504134258,0.516489906,0.24014404
0,1000,0.6,Louvain,FALSE,TRUE,FALSE,4.012178659,0.365205114,0.426595368,0.478002966
1,1000,0.6,Louvain,FALSE,TRUE,FALSE,3.4571383,0.366802388,0.412419744,0.625816255
2,1000,0.6,Louvain,FALSE,TRUE,FALSE,3.57348299,0.360089284,0.407346032,0.646500189
3,1000,0.6,Louvain,FALSE,TRUE,FALSE,3.708842039,0.353358342,0.407958674,0.580002682
4,1000,0.6,Louvain,FALSE,TRUE,FALSE,3.391975641,0.362975381,0.410117423,0.645445336
5,1000,0.6,Louvain,FALSE,TRUE,FALSE,3.396579742,0.358402448,0.405181897,0.566537592
6,1000,0.6,Louvain,FALSE,TRUE,FALSE,4.020531416,0.357504298,0.404242587,0.596851983
7,1000,0.6,Louvain,FALSE,TRUE,FALSE,3.737159491,0.361313008,0.408125446,0.654386369
8,1000,0.6,Louvain,FALSE,TRUE,FALSE,3.456500292,0.362495052,0.418054864,0.539969595
9,1000,0.6,Louvain,FALSE,TRUE,FALSE,4.042760372,0.354096392,0.41147576,0.474007113
0,10000,0.6,Louvain,FALSE,TRUE,FALSE,45.11269116,0.406533634,0.423127024,0.1790155
1,10000,0.6,Louvain,FALSE,TRUE,FALSE,46.90851641,0.406495343,0.421761415,0.196857656
2,10000,0.6,Louvain,FALSE,TRUE,FALSE,50.0222652,0.406437577,0.421499042,0.201805605
3,10000,0.6,Louvain,FALSE,TRUE,FALSE,49.92602563,0.406145294,0.422180624,0.196827875
4,10000,0.6,Louvain,FALSE,TRUE,FALSE,53.65815258,0.406466875,0.421839492,0.201248817
5,10000,0.6,Louvain,FALSE,TRUE,FALSE,55.00275564,0.406565652,0.422373901,0.198398257
6,10000,0.6,Louvain,FALSE,TRUE,FALSE,52.35957003,0.40615992,0.422022696,0.197794204
7,10000,0.6,Louvain,FALSE,TRUE,FALSE,50.14675212,0.406650654,0.423592047,0.174864765
8,10000,0.6,Louvain,FALSE,TRUE,FALSE,49.68791604,0.40637086,0.422582387,0.195172199
9,10000,0.6,Louvain,FALSE,TRUE,FALSE,45.5082233,0.405810605,0.422194926,0.189325445
0,1000,0.4,Louvain,TRUE,FALSE,FALSE,4.500323534,0.561995227,0.599219511,0.974604089
1,1000,0.4,Louvain,TRUE,FALSE,FALSE,3.788942575,0.562800518,0.6017979,0.941740771
2,1000,0.4,Louvain,TRUE,FALSE,FALSE,4.23035121,0.563694735,0.601783022,0.927912465
3,1000,0.4,Louvain,TRUE,FALSE,FALSE,4.298949957,0.564292085,0.599174157,1
4,1000,0.4,Louvain,TRUE,FALSE,FALSE,5.044207096,0.562109222,0.598802431,1
5,1000,0.4,Louvain,TRUE,FALSE,FALSE,4.452112675,0.561275568,0.600472937,0.974464711
6,1000,0.4,Louvain,TRUE,FALSE,FALSE,4.349932432,0.564143656,0.603499382,0.916903933
7,1000,0.4,Louvain,TRUE,FALSE,FALSE,4.885123968,0.565462211,0.601183512,0.94451146
8,1000,0.4,Louvain,TRUE,FALSE,FALSE,4.413147688,0.560565708,0.601137295,1
9,1000,0.4,Louvain,TRUE,FALSE,FALSE,4.755706787,0.562048877,0.599947937,0.974108944
0,10000,0.4,Louvain,TRUE,FALSE,FALSE,59.58597445,0.602652295,0.613009264,0.298305811
