i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10000,0.4,Louvain,TRUE,FALSE,TRUE,4.652485132,0.601780881,0.612030509,0.297258879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10000,0.4,Louvain,TRUE,FALSE,TRUE,4.003745556,0.602054312,0.612511757,0.299789462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.595528841,0.503920799,0.51617551,0.261642267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.531479597,0.503700021,0.516892608,0.24219669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.404187918,0.504043512,0.516954985,0.244504467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.387078762,0.503810974,0.516762685,0.245717044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.567938328,0.503783481,0.516394102,0.246086304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.636391163,0.504349457,0.515858375,0.265494401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.455825567,0.504050689,0.516386063,0.251256644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.684042931,0.504422583,0.516749284,0.254025153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10000,0.5,Louvain,TRUE,FALSE,TRUE,4.431106329,0.50444722,0.516814422,0.24636235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10000,0.5,Louvain,TRUE,FALSE,TRUE,5.864177465,0.504023689,0.516133844,0.254413726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
